batch_id,medicine_id,medicine_name,expiry_date,quantity_vien,branch_id
B108,M43,Thuoc_M43,2027-05-26,1600,CN6
B109,M43,Thuoc_M43,2026-05-13,1800,CN2
B110,M3,Thuoc_M3,2026-11-21,500,CN6
B111,M41,Thuoc_M41,2026-02-28,900,CN6
B112,M9,Thuoc_M9,2027-05-21,300,CN10
B113,M2,Thuoc_M2,2026-12-02,700,CN8
B114,M5,Thuoc_M5,2027-03-12,800,CN5
B115,M30,Thuoc_M30,2026-01-29,500,CN6
B116,M22,Thuoc_M22,2025-09-30,200,CN3
B117,M40,Thuoc_M40,2026-06-30,600,CN5
B118,M6,Thuoc_M6,2027-08-26,400,CN10
B119,M28,Thuoc_M28,2026-09-11,1300,CN8
B120,M10,Thuoc_M10,2027-07-21,400,CN10
B121,M3,Thuoc_M3,2025-10-07,900,CN9
B122,M12,Thuoc_M12,2026-04-14,2000,CN7
B123,M26,Thuoc_M26,2027-08-04,1500,CN9
B124,M40,Thuoc_M40,2026-02-06,1900,CN10
B125,M22,Thuoc_M22,2027-04-21,2000,CN2
B126,M22,Thuoc_M22,2025-03-20,1700,CN10
B127,M38,Thuoc_M38,2026-03-26,1000,CN10
B128,M14,Thuoc_M14,2026-07-17,1200,CN9
B129,M4,Thuoc_M4,2027-03-27,600,CN1
B130,M21,Thuoc_M21,2027-07-06,1500,CN8
B131,M44,Thuoc_M44,2025-07-04,500,CN3
B132,M37,Thuoc_M37,2025-03-29,600,CN6
B133,M31,Thuoc_M31,2027-06-27,1000,CN7
B134,M27,Thuoc_M27,2025-09-17,1900,CN4
B135,M40,Thuoc_M40,2027-08-19,800,CN10
B136,M23,Thuoc_M23,2027-08-22,1400,CN3
B137,M6,Thuoc_M6,2025-08-17,200,CN6
B138,M29,Thuoc_M29,2025-09-13,100,CN1
B139,M13,Thuoc_M13,2026-08-24,1400,CN2
B140,M3,Thuoc_M3,2026-12-31,800,CN2
B141,M6,Thuoc_M6,2025-08-05,2000,CN1
B142,M42,Thuoc_M42,2027-03-06,600,CN9
B143,M20,Thuoc_M20,2025-07-07,500,CN2
B144,M19,Thuoc_M19,2025-09-17,200,CN5
B145,M48,Thuoc_M48,2025-08-31,100,CN6
B146,M18,Thuoc_M18,2025-11-23,1400,CN5
B147,M26,Thuoc_M26,2026-04-17,700,CN5
B148,M32,Thuoc_M32,2026-09-25,1500,CN10
B149,M17,Thuoc_M17,2025-09-22,400,CN10
B150,M23,Thuoc_M23,2027-07-19,1400,CN6
B151,M34,Thuoc_M34,2026-11-26,1600,CN3
B152,M30,Thuoc_M30,2025-12-24,1200,CN10
B153,M16,Thuoc_M16,2027-06-01,200,CN9
B154,M21,Thuoc_M21,2027-03-04,700,CN6
B155,M8,Thuoc_M8,2025-06-17,400,CN2
B156,M24,Thuoc_M24,2026-10-26,200,CN3
B157,M48,Thuoc_M48,2027-08-05,1200,CN4
B158,M12,Thuoc_M12,2025-06-21,2000,CN1
B159,M31,Thuoc_M31,2025-08-26,1600,CN1
B160,M14,Thuoc_M14,2026-07-25,900,CN8
B161,M19,Thuoc_M19,2027-02-17,700,CN9
B162,M25,Thuoc_M25,2025-03-27,1500,CN3
B163,M3,Thuoc_M3,2026-08-09,800,CN5
B164,M1,Thuoc_M1,2026-02-23,1400,CN4
B165,M2,Thuoc_M2,2025-04-15,600,CN8
B166,M27,Thuoc_M27,2027-08-16,700,CN1
B167,M35,Thuoc_M35,2027-08-02,1000,CN4
B168,M17,Thuoc_M17,2026-01-17,400,CN2
B169,M9,Thuoc_M9,2026-02-15,600,CN9
B170,M26,Thuoc_M26,2027-07-12,1000,CN7
B171,M6,Thuoc_M6,2026-12-27,500,CN7
B172,M27,Thuoc_M27,2027-08-01,500,CN8
B173,M4,Thuoc_M4,2027-05-16,400,CN6
B174,M32,Thuoc_M32,2025-11-06,1200,CN7
B175,M18,Thuoc_M18,2026-05-30,200,CN7
B176,M3,Thuoc_M3,2026-08-30,100,CN3
B177,M5,Thuoc_M5,2027-02-15,400,CN7
B178,M36,Thuoc_M36,2027-04-23,1200,CN2
B179,M27,Thuoc_M27,2026-11-11,900,CN8
B180,M34,Thuoc_M34,2027-05-25,100,CN5
B181,M23,Thuoc_M23,2026-01-20,1800,CN6
B182,M49,Thuoc_M49,2025-11-15,100,CN6
B183,M5,Thuoc_M5,2025-03-26,300,CN4
B184,M8,Thuoc_M8,2025-09-28,1700,CN9
B185,M1,Thuoc_M1,2025-05-03,800,CN1
B186,M5,Thuoc_M5,2026-02-10,1000,CN7
B187,M13,Thuoc_M13,2025-06-21,100,CN4
B188,M14,Thuoc_M14,2026-04-16,500,CN2
B189,M10,Thuoc_M10,2027-05-06,1000,CN5
B190,M10,Thuoc_M10,2026-02-10,1200,CN3
B191,M33,Thuoc_M33,2027-07-20,1900,CN4
B192,M45,Thuoc_M45,2025-12-03,700,CN9
B193,M36,Thuoc_M36,2026-12-23,800,CN10
B194,M21,Thuoc_M21,2026-12-06,700,CN2
B195,M26,Thuoc_M26,2025-06-19,500,CN10
B196,M12,Thuoc_M12,2027-08-14,1000,CN2
B197,M32,Thuoc_M32,2026-02-25,1800,CN3
B198,M3,Thuoc_M3,2027-08-20,800,CN10
B199,M4,Thuoc_M4,2027-06-29,1200,CN5
B200,M8,Thuoc_M8,2026-07-16,1900,CN4
B201,M8,Thuoc_M8,2025-06-08,1000,CN8
B202,M30,Thuoc_M30,2025-11-04,1600,CN10
B203,M35,Thuoc_M35,2026-11-21,1200,CN2
B204,M30,Thuoc_M30,2025-09-26,700,CN7
B205,M38,Thuoc_M38,2025-09-26,700,CN10
B206,M2,Thuoc_M2,2026-09-08,1000,CN3
B207,M4,Thuoc_M4,2027-06-23,700,CN7
B208,M28,Thuoc_M28,2025-07-08,1300,CN9
B209,M42,Thuoc_M42,2027-05-06,700,CN5
B210,M4,Thuoc_M4,2027-01-15,700,CN6
B211,M39,Thuoc_M39,2026-04-04,1100,CN2
B212,M35,Thuoc_M35,2025-08-15,1600,CN4
B213,M14,Thuoc_M14,2026-03-01,500,CN5
B214,M29,Thuoc_M29,2026-03-11,1700,CN1
B215,M12,Thuoc_M12,2025-04-16,700,CN10
B216,M49,Thuoc_M49,2025-06-27,1800,CN3
B217,M44,Thuoc_M44,2025-07-29,1100,CN2
B218,M8,Thuoc_M8,2027-03-01,1400,CN9
B219,M27,Thuoc_M27,2026-10-13,300,CN8
B220,M35,Thuoc_M35,2027-03-28,900,CN8
B221,M15,Thuoc_M15,2027-01-29,800,CN8
B222,M28,Thuoc_M28,2027-08-13,500,CN3
B223,M2,Thuoc_M2,2026-02-08,200,CN6
B224,M36,Thuoc_M36,2025-05-02,100,CN4
B225,M15,Thuoc_M15,2025-06-22,100,CN5
B226,M13,Thuoc_M13,2026-01-18,1600,CN2
B227,M17,Thuoc_M17,2025-04-14,1700,CN1
B228,M1,Thuoc_M1,2025-05-24,1100,CN3
B229,M1,Thuoc_M1,2027-08-26,1900,CN3
B230,M1,Thuoc_M1,2025-11-29,1400,CN8
B231,M16,Thuoc_M16,2026-03-26,1800,CN10
B232,M43,Thuoc_M43,2025-08-28,600,CN10
B233,M12,Thuoc_M12,2025-03-30,1900,CN10
B234,M33,Thuoc_M33,2025-03-20,200,CN1
B235,M9,Thuoc_M9,2025-06-24,800,CN6
B236,M47,Thuoc_M47,2025-03-20,1200,CN10
B237,M37,Thuoc_M37,2025-09-21,700,CN6
B238,M6,Thuoc_M6,2025-03-25,1600,CN1
B239,M33,Thuoc_M33,2026-09-27,1600,CN1
B240,M9,Thuoc_M9,2027-02-04,600,CN10
B241,M46,Thuoc_M46,2026-11-05,1900,CN8
B242,M29,Thuoc_M29,2027-05-24,600,CN3
B243,M48,Thuoc_M48,2027-03-28,200,CN8
B244,M42,Thuoc_M42,2025-04-08,1900,CN10
B245,M4,Thuoc_M4,2027-06-30,800,CN7
B246,M22,Thuoc_M22,2025-10-28,400,CN8
B247,M5,Thuoc_M5,2026-10-19,1600,CN3
B248,M15,Thuoc_M15,2026-02-20,800,CN9
B249,M8,Thuoc_M8,2026-10-26,1000,CN9
B250,M2,Thuoc_M2,2027-05-31,1900,CN9
B251,M33,Thuoc_M33,2026-03-24,1700,CN9
B252,M39,Thuoc_M39,2026-08-05,1300,CN3
B253,M18,Thuoc_M18,2027-02-03,200,CN6
B254,M29,Thuoc_M29,2025-10-18,1300,CN8
B255,M3,Thuoc_M3,2026-01-06,900,CN6
B256,M21,Thuoc_M21,2027-08-12,400,CN4
B257,M49,Thuoc_M49,2026-06-22,1100,CN5
B258,M2,Thuoc_M2,2026-01-10,600,CN9
B259,M36,Thuoc_M36,2025-10-28,1900,CN10
B260,M46,Thuoc_M46,2025-12-04,1200,CN8
B261,M12,Thuoc_M12,2026-06-09,100,CN9
B262,M6,Thuoc_M6,2026-10-16,2000,CN10
B263,M17,Thuoc_M17,2027-06-23,1300,CN2
B264,M26,Thuoc_M26,2026-12-15,1000,CN8
B265,M8,Thuoc_M8,2027-03-29,400,CN5
B266,M28,Thuoc_M28,2026-10-31,1200,CN9
B267,M25,Thuoc_M25,2026-12-01,800,CN4
B268,M45,Thuoc_M45,2026-04-04,300,CN6
B269,M34,Thuoc_M34,2025-05-28,400,CN9
B270,M30,Thuoc_M30,2025-05-19,1600,CN8
B271,M15,Thuoc_M15,2026-08-21,1800,CN9
B272,M25,Thuoc_M25,2025-10-23,1900,CN1
B273,M41,Thuoc_M41,2026-12-04,1900,CN9
B274,M34,Thuoc_M34,2025-07-09,1800,CN6
B275,M39,Thuoc_M39,2026-01-11,1000,CN1
B276,M12,Thuoc_M12,2025-07-03,1800,CN3
B277,M46,Thuoc_M46,2026-10-05,1200,CN7
B278,M1,Thuoc_M1,2026-10-27,100,CN2
B279,M30,Thuoc_M30,2026-02-11,900,CN6
B280,M26,Thuoc_M26,2025-08-01,200,CN3
B281,M42,Thuoc_M42,2026-04-01,100,CN7
B282,M38,Thuoc_M38,2026-04-27,300,CN4
B283,M29,Thuoc_M29,2027-05-09,1900,CN3
B284,M1,Thuoc_M1,2025-06-02,200,CN10
B285,M41,Thuoc_M41,2026-01-23,100,CN10
B286,M32,Thuoc_M32,2025-10-20,1900,CN5
B287,M8,Thuoc_M8,2026-03-08,600,CN9
B288,M49,Thuoc_M49,2027-06-11,700,CN1
B289,M28,Thuoc_M28,2025-06-03,1000,CN4
B290,M24,Thuoc_M24,2026-04-11,1200,CN5
B291,M32,Thuoc_M32,2026-08-27,400,CN1
B292,M36,Thuoc_M36,2026-04-16,1400,CN8
B293,M26,Thuoc_M26,2026-01-07,1500,CN6
B294,M46,Thuoc_M46,2026-07-08,1900,CN9
B295,M31,Thuoc_M31,2026-07-15,2000,CN1
B296,M16,Thuoc_M16,2026-09-05,200,CN9
B297,M47,Thuoc_M47,2025-11-21,900,CN8
B298,M10,Thuoc_M10,2025-05-13,2000,CN9
B299,M28,Thuoc_M28,2026-07-04,1700,CN2
B300,M15,Thuoc_M15,2025-12-07,1800,CN5
B301,M48,Thuoc_M48,2027-02-23,1300,CN1
B302,M37,Thuoc_M37,2027-05-30,700,CN6
B303,M46,Thuoc_M46,2026-01-25,800,CN6
B304,M15,Thuoc_M15,2025-09-22,2000,CN3
B305,M17,Thuoc_M17,2026-01-25,1600,CN7
B306,M12,Thuoc_M12,2027-05-30,200,CN1
B307,M20,Thuoc_M20,2025-09-28,1800,CN7
B308,M8,Thuoc_M8,2026-03-20,200,CN6
B309,M4,Thuoc_M4,2025-08-06,500,CN1
B310,M9,Thuoc_M9,2025-05-24,500,CN2
B311,M18,Thuoc_M18,2025-10-26,200,CN2
B312,M15,Thuoc_M15,2026-04-04,2000,CN5
B313,M25,Thuoc_M25,2026-02-15,900,CN1
B314,M46,Thuoc_M46,2025-08-22,1300,CN6
B315,M6,Thuoc_M6,2026-09-17,1800,CN7
B316,M29,Thuoc_M29,2027-01-25,1900,CN4
B317,M1,Thuoc_M1,2025-06-08,900,CN6
B318,M8,Thuoc_M8,2026-03-13,100,CN5
B319,M10,Thuoc_M10,2026-04-17,1000,CN8
B320,M19,Thuoc_M19,2027-01-30,1100,CN2
B321,M25,Thuoc_M25,2025-06-29,1300,CN9
B322,M8,Thuoc_M8,2027-01-06,1400,CN3
B323,M19,Thuoc_M19,2026-08-17,1900,CN9
B324,M11,Thuoc_M11,2026-07-24,400,CN2
B325,M18,Thuoc_M18,2027-01-25,1700,CN9
B326,M38,Thuoc_M38,2026-01-15,1800,CN5
B327,M7,Thuoc_M7,2026-08-28,2000,CN4
B328,M41,Thuoc_M41,2027-08-21,1900,CN7
B329,M18,Thuoc_M18,2025-06-28,1500,CN1
B330,M34,Thuoc_M34,2026-11-11,700,CN4
B331,M49,Thuoc_M49,2027-01-06,1900,CN6
B332,M27,Thuoc_M27,2026-01-13,1300,CN10
B333,M46,Thuoc_M46,2026-04-26,700,CN5
B334,M23,Thuoc_M23,2025-09-13,2000,CN8
B335,M31,Thuoc_M31,2026-04-10,1900,CN10
B336,M24,Thuoc_M24,2025-10-28,1800,CN3
B337,M9,Thuoc_M9,2026-05-22,500,CN9
B338,M20,Thuoc_M20,2026-05-04,1900,CN6
B339,M3,Thuoc_M3,2025-03-25,1400,CN6
B340,M45,Thuoc_M45,2025-04-28,1900,CN1
B341,M34,Thuoc_M34,2025-10-18,1300,CN9
B342,M7,Thuoc_M7,2027-08-27,1500,CN2
B343,M5,Thuoc_M5,2025-10-21,500,CN6
B344,M19,Thuoc_M19,2025-12-07,1500,CN10
B345,M37,Thuoc_M37,2027-06-15,900,CN8
B346,M42,Thuoc_M42,2025-04-02,700,CN10
B347,M30,Thuoc_M30,2025-07-01,600,CN1
B348,M10,Thuoc_M10,2026-07-09,1300,CN4
B349,M34,Thuoc_M34,2027-04-28,500,CN1
B350,M41,Thuoc_M41,2025-04-10,1900,CN9
B351,M49,Thuoc_M49,2025-07-21,1600,CN8
B352,M4,Thuoc_M4,2025-12-25,1100,CN3
B353,M13,Thuoc_M13,2026-10-11,1200,CN2
B354,M34,Thuoc_M34,2026-06-07,900,CN4
B355,M1,Thuoc_M1,2027-02-13,100,CN8
B356,M12,Thuoc_M12,2025-05-16,700,CN3
B357,M27,Thuoc_M27,2025-06-12,400,CN3
B358,M48,Thuoc_M48,2025-09-22,900,CN5
B359,M36,Thuoc_M36,2025-04-17,2000,CN5
B360,M34,Thuoc_M34,2025-06-13,900,CN3
B361,M16,Thuoc_M16,2025-04-06,1800,CN7
B362,M10,Thuoc_M10,2026-05-01,1900,CN5
B363,M33,Thuoc_M33,2027-02-11,100,CN3
B364,M34,Thuoc_M34,2027-08-11,900,CN9
B365,M43,Thuoc_M43,2025-06-07,100,CN5
B366,M18,Thuoc_M18,2025-10-05,2000,CN10
B367,M17,Thuoc_M17,2025-03-20,1900,CN2
B368,M15,Thuoc_M15,2027-03-02,900,CN6
B369,M19,Thuoc_M19,2027-04-23,1900,CN2
B370,M38,Thuoc_M38,2025-03-29,400,CN2
B371,M27,Thuoc_M27,2025-10-30,400,CN1
B372,M48,Thuoc_M48,2026-08-26,2000,CN8
B373,M5,Thuoc_M5,2027-07-04,1100,CN2
B374,M28,Thuoc_M28,2026-03-01,1700,CN6
B375,M3,Thuoc_M3,2027-02-02,1100,CN3
B376,M47,Thuoc_M47,2026-04-29,1900,CN1
B377,M25,Thuoc_M25,2026-09-15,200,CN7
B378,M21,Thuoc_M21,2027-04-17,900,CN4
B379,M14,Thuoc_M14,2027-04-21,600,CN4
B380,M13,Thuoc_M13,2025-12-11,1100,CN7
B381,M25,Thuoc_M25,2026-11-10,500,CN7
B382,M14,Thuoc_M14,2026-06-18,1800,CN7
B383,M42,Thuoc_M42,2026-02-07,1300,CN10
B384,M28,Thuoc_M28,2025-06-29,400,CN3
B385,M7,Thuoc_M7,2027-01-23,2000,CN4
B386,M23,Thuoc_M23,2026-04-03,1700,CN3
B387,M47,Thuoc_M47,2026-06-08,100,CN4
B388,M41,Thuoc_M41,2026-08-23,200,CN4
B389,M14,Thuoc_M14,2025-10-09,2000,CN1
B390,M41,Thuoc_M41,2025-05-24,500,CN9
B391,M29,Thuoc_M29,2025-05-03,500,CN7
B392,M44,Thuoc_M44,2025-04-13,600,CN10
B393,M32,Thuoc_M32,2025-05-11,900,CN8
B394,M9,Thuoc_M9,2025-06-19,400,CN3
B395,M5,Thuoc_M5,2025-10-13,700,CN8
B396,M24,Thuoc_M24,2026-03-31,1800,CN3
B397,M4,Thuoc_M4,2026-12-13,1600,CN8
B398,M31,Thuoc_M31,2027-03-06,500,CN9
B399,M11,Thuoc_M11,2025-11-27,700,CN10
B400,M13,Thuoc_M13,2025-09-13,1600,CN1
B401,M43,Thuoc_M43,2026-11-29,1700,CN5
B402,M22,Thuoc_M22,2026-08-16,600,CN6
B403,M37,Thuoc_M37,2027-03-20,900,CN7
B404,M46,Thuoc_M46,2027-07-08,900,CN2
B405,M32,Thuoc_M32,2025-08-21,400,CN10
B406,M23,Thuoc_M23,2026-10-26,700,CN1
B407,M41,Thuoc_M41,2025-05-11,1400,CN10
B408,M17,Thuoc_M17,2027-08-17,1100,CN3
B409,M45,Thuoc_M45,2026-10-03,300,CN7
B410,M14,Thuoc_M14,2027-03-15,2000,CN7
B411,M44,Thuoc_M44,2026-02-10,1100,CN2
B412,M41,Thuoc_M41,2027-01-29,900,CN10
B413,M36,Thuoc_M36,2025-04-27,1800,CN5
B414,M31,Thuoc_M31,2026-05-05,1400,CN3
B415,M10,Thuoc_M10,2025-07-02,700,CN7
B416,M40,Thuoc_M40,2025-04-06,100,CN9
B417,M21,Thuoc_M21,2026-05-13,1300,CN8
B418,M44,Thuoc_M44,2026-09-15,100,CN8
B419,M24,Thuoc_M24,2025-05-18,800,CN8
B420,M13,Thuoc_M13,2025-09-16,1000,CN4
B421,M1,Thuoc_M1,2025-10-15,2000,CN9
B422,M21,Thuoc_M21,2027-04-13,600,CN6
B423,M43,Thuoc_M43,2026-10-04,1400,CN1
B424,M36,Thuoc_M36,2027-05-30,1700,CN9
B425,M15,Thuoc_M15,2025-06-21,1700,CN9
B426,M11,Thuoc_M11,2027-07-01,1700,CN3
B427,M6,Thuoc_M6,2025-12-29,1800,CN2
B428,M14,Thuoc_M14,2027-06-23,1000,CN3
B429,M38,Thuoc_M38,2026-05-12,1500,CN5
B430,M11,Thuoc_M11,2026-07-20,1900,CN5
B431,M15,Thuoc_M15,2025-08-02,700,CN3
B432,M5,Thuoc_M5,2027-09-02,700,CN9
B433,M6,Thuoc_M6,2025-11-27,1600,CN9
B434,M43,Thuoc_M43,2025-03-27,900,CN9
B435,M12,Thuoc_M12,2026-07-28,300,CN1
B436,M32,Thuoc_M32,2025-09-30,300,CN1
B437,M48,Thuoc_M48,2026-03-06,300,CN6
B438,M23,Thuoc_M23,2026-02-21,1000,CN9
B439,M25,Thuoc_M25,2025-06-30,1000,CN3
B440,M11,Thuoc_M11,2026-07-18,800,CN5
B441,M34,Thuoc_M34,2025-08-14,100,CN7
B442,M40,Thuoc_M40,2025-07-17,300,CN5
B443,M7,Thuoc_M7,2026-02-06,1200,CN3
B444,M29,Thuoc_M29,2026-06-22,1300,CN7
B445,M26,Thuoc_M26,2026-07-15,300,CN10
B446,M49,Thuoc_M49,2026-09-28,1400,CN4
B447,M2,Thuoc_M2,2026-07-06,1800,CN8
B448,M48,Thuoc_M48,2026-08-30,700,CN10
B449,M12,Thuoc_M12,2027-06-14,1400,CN9
B450,M18,Thuoc_M18,2026-09-22,1700,CN10
B451,M15,Thuoc_M15,2026-11-04,1700,CN4
B452,M46,Thuoc_M46,2026-01-19,1800,CN2
B453,M41,Thuoc_M41,2025-04-06,900,CN9
B454,M1,Thuoc_M1,2026-03-25,700,CN5
B455,M9,Thuoc_M9,2027-03-31,2000,CN2
B456,M40,Thuoc_M40,2027-04-08,1600,CN2
B457,M14,Thuoc_M14,2026-03-12,1300,CN2
B458,M11,Thuoc_M11,2027-04-01,1500,CN8
B459,M13,Thuoc_M13,2025-10-09,1700,CN5
B460,M11,Thuoc_M11,2026-04-03,1600,CN8
B461,M16,Thuoc_M16,2026-08-12,1500,CN1
B462,M45,Thuoc_M45,2026-09-16,900,CN1
B463,M47,Thuoc_M47,2026-07-05,2000,CN9
B464,M1,Thuoc_M1,2026-08-20,300,CN3
B465,M27,Thuoc_M27,2025-12-16,1900,CN1
B466,M8,Thuoc_M8,2025-10-11,1900,CN2
B467,M37,Thuoc_M37,2026-12-02,1800,CN7
B468,M9,Thuoc_M9,2025-10-24,200,CN7
B469,M35,Thuoc_M35,2027-07-10,1400,CN2
B470,M29,Thuoc_M29,2027-04-12,1300,CN4
B471,M29,Thuoc_M29,2027-04-22,1800,CN9
B472,M36,Thuoc_M36,2025-08-15,1300,CN4
B473,M28,Thuoc_M28,2025-06-30,1600,CN8
B474,M4,Thuoc_M4,2025-09-19,1100,CN5
B475,M21,Thuoc_M21,2026-03-01,1000,CN6
B476,M2,Thuoc_M2,2025-04-18,400,CN8
B477,M37,Thuoc_M37,2026-03-24,1700,CN7
B478,M45,Thuoc_M45,2027-05-27,1400,CN5
B479,M22,Thuoc_M22,2027-02-28,900,CN2
B480,M35,Thuoc_M35,2026-07-30,500,CN4
B481,M50,Thuoc_M50,2025-07-24,1900,CN7
B482,M17,Thuoc_M17,2026-01-19,1000,CN5
B483,M48,Thuoc_M48,2026-10-09,1800,CN9
B484,M25,Thuoc_M25,2027-04-28,1900,CN3
B485,M48,Thuoc_M48,2026-10-12,1800,CN8
B486,M39,Thuoc_M39,2026-06-04,800,CN9
B487,M10,Thuoc_M10,2027-01-10,1100,CN7
B488,M7,Thuoc_M7,2025-05-11,1100,CN6
